1	200	30.50	0.0492
201	400	46.00	0.0652
401	600	44.00	0.0227
601	800	42.50	0.0824
801	1000	42.50	0.2235
1001	1200	41.00	-0.1707
1201	1400	34.50	-0.1304
1401	1600	37.50	-0.0133
1601	1800	37.50	-0.04
1801	2000	38.00	-0.0789
2001	2200	38.00	-0.1316
2201	2400	36.00	0.0556
2401	2600	38.00	-0.1316
2601	2800	45.00	0.0444
2801	3000	39.00	-0.0256
3001	3200	43.00	0.093
3201	3400	36.00	0.1389
3401	3600	41.00	0
3601	3800	40.00	-0.05
3801	4000	33.50	-0.0149
4001	4200	35.00	0.2286
4201	4400	38.50	-0.0649
4401	4600	32.50	0.0154
4601	4800	35.00	0.0571
4801	5000	40.50	-0.0617
5001	5200	33.50	0.1343
5201	5400	33.50	0.1045
5401	5600	27.50	0.3818
5601	5800	27.50	0.0545
5801	6000	31.00	0.0645
6001	6200	25.00	-0.04
6201	6400	27.00	0.0741
6401	6600	35.50	0.0141
6601	6800	31.00	0.3226
6801	7000	49.50	0.0303
7001	7200	33.00	0.0303
7201	7400	38.50	0.1948
7401	7600	42.00	0.0714
7601	7800	30.50	0.1148
7801	8000	26.50	0.0566
8001	8200	28.50	0.4035
8201	8400	33.00	0.3939
8401	8600	21.00	0.0952
8601	8800	27.50	0.2727
8801	9000	23.00	0
9001	9200	31.50	0.0476
9201	9400	34.00	0.1471
9401	9600	41.50	0.1807
9601	9800	39.00	0.0513
9801	10000	28.50	0.0877
10001	10200	30.50	0.0492
10201	10400	31.00	0.1613
10401	10600	30.50	0.4098
10601	10800	25.50	0.0196
10801	11000	25.50	-0.0588
11001	11200	36.50	0.2329
11201	11400	29.00	0.1379
11401	11600	34.50	0.2174
11601	11800	22.50	0.0222
11801	12000	29.50	0.0508
12001	12200	21.00	0
12201	12400	27.00	0.1852
12401	12600	39.50	0.0633
12601	12800	39.50	-0.0127
12801	13000	38.00	0.1053
13001	13200	35.00	-0.1143
13201	13400	37.50	-0.1467
13401	13600	43.00	-0.0233
13601	13800	38.00	0.1316
13801	14000	32.50	-0.1692
14001	14200	38.50	-0.1429
14201	14400	33.00	0.1212
14401	14600	35.50	-0.1831
14601	14800	39.00	0.1026
14801	15000	38.50	-0.1429
15001	15200	38.00	-0.2368
15201	15400	36.50	-0.0959
15401	15600	36.50	-0.0411
15601	15800	36.00	-0.1944
15801	16000	37.00	-0.0541
16001	16200	34.50	-0.0725
16201	16400	44.50	0.1461
16401	16600	28.00	0
16601	16800	50.00	0.08
16801	17000	28.00	0.1786
17001	17200	30.00	0.1333
17201	17400	31.00	-0.2581
17401	17600	25.50	0.1765
17601	17800	24.50	0.1429
17801	18000	42.00	0.1429
18001	18200	47.00	0
18201	18400	30.50	0.1148
18401	18600	47.00	0
18601	18800	42.50	0.2706
18801	19000	36.50	0.0411
19001	19200	44.50	-0.0337
19201	19400	43.00	-0.1628
19401	19600	45.50	-0.2308
19601	19800	37.00	0.0541
19801	20000	37.50	-0.0133
20001	20200	42.00	-0.2381
20201	20400	42.00	-0.1429
20401	20600	38.00	0.0789
20601	20800	38.00	0.1579
20801	21000	38.00	-0.0263
21001	21200	36.00	-0.0278
21201	21400	32.00	-0.0313
21401	21600	26.50	0.1321
21601	21800	23.00	0.2609
21801	22000	31.50	0.0159
22001	22200	34.50	0.1884
22201	22400	33.00	-0.0606
22401	22600	34.00	0
22601	22800	27.00	0.1852
22801	23000	35.50	0.2113
23001	23200	28.50	-0.0175
23201	23400	29.50	0.0847
23401	23600	31.50	0.3333
23601	23800	28.50	0.0526
23801	24000	29.00	-0.069
24001	24200	28.00	-0.1071
24201	24400	25.00	0.2
24401	24600	29.00	0.069
24601	24800	30.50	-0.082
24801	25000	28.00	0.3571
25001	25200	31.00	-0.0323
25201	25400	30.00	0.4
25401	25600	19.50	-0.0256
25601	25800	38.00	0
25801	26000	24.00	-0.0833
26001	26200	31.50	0.1111
26201	26400	42.50	-0.0353
26401	26600	34.50	-0.0145
26601	26800	24.50	0.1837
26801	27000	25.50	-0.0196
27001	27200	36.50	-0.1233
27201	27400	42.50	0.0824
27401	27600	50.00	0.32
27601	27800	31.50	0.2698
27801	28000	29.50	0.3898
28001	28200	31.00	0.0645
28201	28400	26.00	0.3846
28401	28600	34.00	-0.0294
28601	28800	39.00	0.1538
28801	29000	25.50	0.0588
29001	29200	22.00	0.0455
29201	29400	30.00	0.1667
29401	29600	28.50	0.0877
29601	29800	22.00	0.5
29801	30000	33.50	0.0448
30001	30200	28.50	0.2632
30201	30400	21.00	0.2857
30401	30600	29.00	0.1724
30601	30800	18.00	-0.1111
30801	31000	23.50	0.0638
31001	31200	41.50	0.2289
31201	31400	31.50	0.2698
31401	31600	32.50	0.0462
31601	31800	28.50	-0.0877
31801	32000	34.00	0.1176
32001	32200	36.00	0.0556
32201	32400	31.00	0.1613
32401	32600	29.50	0.2542
32601	32800	29.50	0.1525
32801	33000	46.00	0
33001	33200	25.50	0.0588
33201	33400	28.00	-0.1071
33401	33600	29.00	0.1034
33601	33800	38.00	0.0789
33801	34000	25.00	0.44
34001	34200	28.50	0.1228
34201	34400	30.00	0
34401	34600	33.00	0.2121
34601	34800	21.00	-0.1429
34801	35000	33.50	0.194
35001	35200	36.00	0.0833
35201	35400	42.50	-0.0353
35401	35600	37.50	0.1733
35601	35800	39.50	0.038
35801	36000	29.50	0.1864
36001	36200	25.00	0
36201	36400	27.00	0.037
